"","Id","CreationDate","PostId","RelatedPostId","LinkTypeId"
"1","112","2010-09-03T09:36:05.717","661","667","1"
"2","221","2010-09-05T12:00:10.443","938","262","1"
"3","12965","2010-09-08T22:45:20.747","1323","1338","1"
"4","14322","2010-09-08T23:50:35.960","1524","4","1"
"5","14323","2010-09-08T23:50:35.960","1524","1386","1"
"6","18932","2010-09-09T10:39:47.120","1702","484","1"
"7","23662","2010-09-09T18:02:01.107","1871","597","1"
"8","23663","2010-09-09T18:02:01.107","1871","670","1"
"9","27910","2010-09-09T22:53:48.287","2272","2271","1"
"10","45374","2010-09-11T20:33:13.933","827","554","1"
"11","45375","2010-09-11T20:33:13.933","827","361","1"
"12","49478","2010-09-12T10:33:39.177","294","202","1"
"13","54613","2010-09-12T23:27:31.690","100","67","1"
"14","66155","2010-09-14T09:50:14.603","2226","361","1"
"15","66676","2010-09-14T11:17:07.807","2756","2715","1"
"16","76688","2010-09-15T10:42:59.780","3704","134","1"
"17","82948","2010-09-15T21:25:09.673","134","19","1"
"18","92948","2010-09-16T20:37:26.263","3389","3272","1"
"19","98105","2010-09-17T08:53:39.877","4687","368","1"
"20","103059","2010-09-17T19:16:20.070","3695","370","1"
"21","106096","2010-09-17T23:53:33.773","670","597","1"
"22","106500","2010-09-18T01:07:03.567","4886","4671","1"
"23","113000","2010-09-18T20:33:58.523","1954","966","1"
"24","113026","2010-09-18T20:34:27.057","313","67","1"
"25","113826","2010-09-18T21:03:01.013","2158","1237","1"
"26","113827","2010-09-18T21:03:01.013","2158","1006","1"
"27","116369","2010-09-19T04:21:42.577","4305","1106","1"
"28","119310","2010-09-19T17:10:53.180","16","2323","1"
"29","119695","2010-09-19T18:25:10.203","5209","5055","1"
"30","122925","2010-09-20T01:46:31.887","5037","2846","1"
"31","126821","2010-09-20T12:17:26.673","5111","4865","1"
"32","127976","2010-09-20T14:13:08.097","5579","5560","1"
"33","127977","2010-09-20T14:13:08.097","5579","678","1"
