"","Id","TagName","Count","ExcerptPostId","WikiPostId"
"1","1","comments","143","84634","84633"
"2","3","code-smell","87","133740","133739"
"3","4","programming-languages","1193","4802","4801"
"4","5","usage","11","5","usage"
"5","6","market-share","4","6","market-share"
"6","7","business","145","109610","109609"
"7","8","project-management","775","48555","48554"
"8","9","development-process","493","143950","143949"
"9","11","performance","408","107405","107404"
"10","12","time-management","83","12","time-management"
"11","13","dynamic-typing","63","133802","133801"
"12","14","static-typing","48","14","static-typing"
"13","16","team","224","166744","166743"
"14","18","personal-traits","5","18","personal-traits"
"15","22","favorite","2","22","favorite"
"16","23","waterfall","35","23","waterfall"
"17","24","micro-management","4","24","micro-management"
"18","25","non-technical-manager","21","25","non-technical-manager"
"19","26","certification","79","134469","134468"
"20","27","scjp","3","27","scjp"
"21","28","functional-programming","404","67239","67238"
"22","36","web-applications","608","104484","104483"
"23","38","hiring","115","48945","48944"
"24","40","resources","74","40","resources"
"25","41","math","194","170221","170220"
"26","42","school","41","42","school"
"27","44","office","29","135291","135290"
"28","45","billing","21","45","billing"
"29","46","freelancing","259","121103","121102"
"30","47","pricing","64","167443","167442"
"31","49","twitter","22","67236","67235"
"32","50","software","153","49001","49000"
"33","51","technology","51","168228","168227"
"34","52","books","207","49448","49447"
"35","53","actor-model","18","53","actor-model"
"36","54","concurrency","140","179324","179323"
"37","55","code-quality","429","121323","121322"
"38","56","test-coverage","33","56","test-coverage"
"39","57","open-source","795","65197","65196"
"40","58","history","245","106197","106196"
"41","61","linux","203","47902","47901"
"42","62","kernel","18","62","kernel"
"43","63","resume","108","155248","155247"
"44","65","agile","743","54867","54866"
"45","67","project-hosting","25","67","project-hosting"
"46","71","productivity","372","54813","54812"
"47","73","qualifications","7","73","qualifications"
"48","74","job-definition","62","167600","167599"
"49","76","java","2671","43376","43375"
"50","77","entertainment","2","77","entertainment"
"51","78","python","881","47876","47875"
"52","82","applications","86","145717","145716"
"53","83","tools","115","71900","71899"
"54","85","employment","88","179319","179318"
"55","86","software-developer","101","167438","167437"
"56","87","telecommuting","15","232501","232500"
"57","89","self-improvement","369","70109","70108"
"58","91","websites","137","75373","75372"
"59","92","organization","87","150077","150076"
"60","94","technique","24","94","technique"
"61","96","social","13","96","social"
"62","102","language-design","268","143965","143964"
"63","103","touch-typing","7","145548","145547"
"64","104","syntax","135","73291","73290"
"65","105","learning","753","55779","55778"
"66","109","regular-expressions","60","236429","236428"
"67","110","web-development","1160","54503","54502"
"68","111","ide","151","47756","47755"
"69","114","windows","232","144317","144316"
"70","117","goto","8","117","goto"
"71","118","programming-practices","914","134613","134612"
"72","119","operating-systems","117","133804","133803"
"73","120","managed-code","7","120","managed-code"
"74","121","stereotypes","2","121","stereotypes"
"75","126","behavior","19","126","behavior"
"76","127","personality","11","127","personality"
"77","130","language-agnostic","378","48538","48537"
"78","131","features","25","131","features"
"79","132","estimation","123","168232","168231"
"80","133","indentation","24","133","indentation"
"81","136","coding","92","40776","40775"
"82","137","concentration","4","137","concentration"
"83","139","courses","15","139","courses"
"84","140","computer-science","188","135834","135833"
"85","141","php","1344","2990","2989"
"86","142","skills","143","45205","45204"
"87","144","languages","84","145713","145712"
"88","145","database-development","69","145","database-development"
"89","146","spring","86","91928","91927"
"90","147","sql","381","47894","47893"
"91","148","future","12","136555","136554"
"92","150","list","38","150","list"
"93","151","reference","36","155213","155212"
"94","153","work-environment","270","64483","64482"
"95","157","unit-testing","784","47892","47891"
"96","158","testing","754","49179","49178"
"97","159","acceptance-testing","50","234977","234976"
"98","164","software-patent","37","164","software-patent"
"99","167","internet-explorer","23","167","internet-explorer"
"100","168","mac","46","132476","132475"
"101","169","deployment","153","144322","144321"
"102","170","physics","10","170","physics"
"103","174","hardware","97","167436","167435"
"104","176","grad-school","10","176","grad-school"
"105","178","paradigms","79","133753","133752"
"106","179","mouse","3","179","mouse"
"107","180","macros","27","167348","167347"
"108","187","logging","112","206948","206947"
"109","188",".net","939","40766","40765"
"110","189","text-editor","45","189","text-editor"
"111","190","ethics","121","94951","94950"
"112","191","motivation","69","64504","64503"
"113","192","testers","8","192","testers"
"114","194","sales","29","194","sales"
"115","195","independent","4","195","independent"
"116","196","isv","6","196","isv"
"117","197","credit-cards","5","197","credit-cards"
"118","198","architect","21","198","architect"
"119","200","paas","7","200","paas"
"120","201","passwords","59","114189","114188"
"121","202","security","473","143952","143951"
"122","203","social-engineering","2","203","social-engineering"
"123","204","lifestyle","14","204","lifestyle"
"124","207","charity","5","207","charity"
"125","208","gpl","361","133716","133715"
"126","211","apple","49","179342","179341"
"127","212","cpu","49","143646","143645"
"128","213","trends","19","213","trends"
"129","214","iphone","160","67860","67859"
"130","215","mobile","149","155236","155235"
"131","216","marketing","31","232541","232540"
"132","220","government","7","220","government"
"133","224","saml","4","224","saml"
"134","226","asp.net","448","47888","47887"
"135","229","object-oriented","1442","113571","113570"
"136","230","aspect-oriented","31","218787","218786"
"137","231","adfsv2","2","231","adfsv2"
"138","234","sso","10","214484","214483"
"139","235","ergonomics","10","235","ergonomics"
"140","236","code-reuse","112","182190","182189"
"141","239","uml","215","135578","135577"
"142","240","diagramming","11","240","diagramming"
"143","241","politics","14","241","politics"
"144","242","iterative-development","9","242","iterative-development"
"145","243","experience","146","105693","105692"
"146","246","code-contracts","8","209193","209192"
"147","249","c#","2156","6620","6619"
"148","250","vb.net","92","40771","40770"
"149","251","scheme","55","151669","151668"
"150","252","lisp","108","72690","72689"
"151","255","error-messages","40","255","error-messages"
"152","258","etymology","22","80646","80645"
"153","264","vim","22","51654","51653"
"154","266","prediction","7","266","prediction"
"155","267","culture","33","275360","275359"
"156","268","emacs","20","72687","72686"
"157","270","google","77","179330","179329"
"158","271","search-engine","35","271","search-engine"
"159","274","focus","20","274","focus"
"160","276","analysis","75","276","analysis"
"161","277","flowchart","21","277","flowchart"
"162","279","coding-standards","323","124397","124396"
"163","280","interview","549","99225","99224"
"164","281","browser","74","133746","133745"
"165","282","front-end","44","282","front-end"
"166","283","warning-signs","3","283","warning-signs"
"167","284","non-programmers","32","284","non-programmers"
"168","285","spoken-languages","26","285","spoken-languages"
"169","286","international","4","286","international"
"170","287","html","301","54806","54805"
"171","288","css","211","74471","74470"
"172","291","burnout","14","252221","252220"
"173","294","management","239","100104","100103"
"174","300","erp","17","230273","230272"
"175","301","users","39","301","users"
"176","304","openid","11","304","openid"
"177","305","antivirus","6","305","antivirus"
"178","306","virus","5","306","virus"
"179","311","algorithms","1222","64486","64485"
"180","312","complexity","101","261782","261781"
"181","315","jargon","13","315","jargon"
"182","318","project","144","135348","135347"
"183","321","social-skills","11","40787","40786"
"184","323","keyboard","11","323","keyboard"
"185","335","stackoverflow","7","210828","210827"
"186","336","mistakes","18","336","mistakes"
"187","338","language-features","86","236199","236198"
"188","339","monitor","14","339","monitor"
"189","340","joel-test","14","40769","40768"
"190","341","code-complete","13","144258","144257"
"191","344","mvc","522","77703","77702"
"192","347","development-cycle","4","347","development-cycle"
"193","348","release","55","348","release"
"194","350","rsi","6","350","rsi"
"195","351","health","9","234129","234128"
"196","353","ideology","3","353","ideology"
"197","354","economics","13","354","economics"
"198","355","profession","17","355","profession"
"199","357","scrum","457","47900","47899"
"200","359","version-control","627","44143","44142"
"201","361","computer","26","361","computer"
"202","362","free-time","19","48943","48942"
"203","363","communication","147","170216","170215"
"204","365","visual-studio-2010","78","40784","40783"
"205","366","stay-updated","6","366","stay-updated"
